,subtitle,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,has_lift,is_exterior,has_terrace,has_parking,full_title,years_of_saving_for_26_35,years_of_saving_for_36_45,years_of_saving_for_46_55,years_of_saving_for_56_65
16237,Castellana,512.0,6,5.0,4,3300000,1.0,1.0,1.0,1,"PRINCIPE DE VERGARA, Castellana, Madrid",159.65406275140788,252.16010165184244,92.21654275092936,32.19500324464634
16238,Lista,242.0,4,3.0,1,1295000,1.0,1.0,0.0,1,"calle de Juan Bravo, Lista, Madrid",62.872083668543844,99.30114358322744,36.31505576208178,12.67845554834523
16239,Castellana,95.0,2,2.0,5,660000,1.0,1.0,0.0,0,"calle de Diego de León, Castellana, Madrid",32.220434432823815,50.88945362134689,18.610594795539033,6.49740428293316
16240,Recoletos,178.0,3,3.0,3,1595000,1.0,1.0,0.0,0,"calle de Velázquez, Recoletos, Madrid",77.35317779565567,122.1728081321474,44.67936802973978,15.598637248539909
16241,Castellana,129.0,3,3.0,2,990000,1.0,1.0,1.0,1,"nuñez de balboa, Castellana, Madrid",48.14963797264682,76.04828462515883,27.811338289962826,9.709604153147307
16242,Goya,292.0,4,3.0,5,1750000,1.0,1.0,0.0,0,"calle MÁRTIRES CONCEPCIONISTA, Goya, Madrid",84.83507642799678,133.98983481575604,49.00092936802974,17.107397793640494
16243,Recoletos,220.0,4,6.0,4,2400000,1.0,1.0,0.0,0,"CONDE DE ARANDA, Recoletos, Madrid",116.2107803700724,183.5451080050826,67.1236059479554,23.434458144062297
16244,Goya,77.0,2,1.0,1,435000,1.0,0.0,0.0,0,"conde de peñalver, Goya, Madrid",21.359613837489945,33.73570520965693,12.33736059479554,4.307268007787151
16245,Barrio de Salamanca,43.0,1,1.0,2,295000,1.0,1.0,1.0,0,"Guindalera, Barrio de Salamanca, Madrid",14.601769911504425,23.062261753494283,8.434014869888475,2.944516547696301
16246,Goya,43.0,2,2.0,5,325000,1.0,0.0,0.0,0,"GENERAL PARDIÑAS, Goya, Madrid",16.049879324215606,25.34942820838628,9.270446096654275,3.236534717715769
